rental_id,duration,duration_ms,bike_id,bike_model,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id
58043496,780,780000,11010,,2016-09-06 08:45:00.000000 UTC,,"Knightsbridge, Hyde Park",2016-09-06 08:32:00.000000 UTC,,"Northumberland Avenue, Strand",1101,1097,0
57848531,780,780000,5484,,2016-08-31 12:09:00.000000 UTC,,"Central House, Aldgate",2016-08-31 11:56:00.000000 UTC,,"Clinton Road, Mile End",3430,200161,0
58022080,780,780000,13251,,2016-09-05 16:55:00.000000 UTC,,"St. Mary Axe, Aldgate",2016-09-05 16:42:00.000000 UTC,,"Red Lion Square, Holborn",1184,3421,0
57958567,780,780000,9217,,2016-09-03 10:57:00.000000 UTC,,"Great Russell Street, Bloomsbury",2016-09-03 10:44:00.000000 UTC,,"Carnegie Street, King's Cross",988,300035,0
58044838,780,780000,11008,,2016-09-06 09:00:00.000000 UTC,,"Newgate Street , St. Paul's",2016-09-06 08:47:00.000000 UTC,,"Endsleigh Gardens, Euston",1074,1079,1
57924821,780,780000,13799,,2016-09-02 09:02:00.000000 UTC,,"Devonshire Square, Liverpool Street",2016-09-02 08:49:00.000000 UTC,,"Harford Street, Mile End",3438,200102,0
58020449,780,780000,14066,,2016-09-05 16:05:00.000000 UTC,,"Hortensia Road, West Brompton",2016-09-05 15:52:00.000000 UTC,,"Natural History Museum, South Kensington",300091,2677,0
58074198,780,780000,9687,,2016-09-06 21:46:00.000000 UTC,,"Notting Hill Gate Station, Notting Hill",2016-09-06 21:33:00.000000 UTC,,"Portman Square, Marylebone",1182,200008,1
57850062,780,780000,4284,,2016-08-31 13:02:00.000000 UTC,,"New Globe Walk, Bankside",2016-08-31 12:49:00.000000 UTC,,"Devonshire Square, Liverpool Street",1015,3438,0
57871598,780,780000,4688,,2016-08-31 20:42:00.000000 UTC,,"Gaywood  Street, Elephant & Castle",2016-08-31 20:29:00.000000 UTC,,"Kennington Road  , Vauxhall",200132,1154,0
57847962,780,780000,952,,2016-08-31 11:44:00.000000 UTC,,"Teversham Lane, Stockwell",2016-08-31 11:31:00.000000 UTC,,"Alderney Street, Pimlico",300036,1174,0
57883761,780,780000,12956,,2016-09-01 09:06:00.000000 UTC,,"Bell Lane, Liverpool Street",2016-09-01 08:53:00.000000 UTC,,"Wapping Lane, Wapping",200036,200034,0
57950558,780,780000,4548,,2016-09-02 21:20:00.000000 UTC,,"Aquatic Centre, Queen Elizabeth Olympic Park",2016-09-02 21:07:00.000000 UTC,,"Aquatic Centre, Queen Elizabeth Olympic Park",300233,300233,1
57837527,780,780000,9357,,2016-08-31 07:52:00.000000 UTC,,"Duke Street Hill, London Bridge",2016-08-31 07:39:00.000000 UTC,,"Fire Brigade Pier, Vauxhall",300083,2703,0
57986533,780,780000,11000,,2016-09-04 13:03:00.000000 UTC,,"East Road, Hoxton",2016-09-04 12:50:00.000000 UTC,,"Thurtle Road, Haggerston",1054,200093,0
57947505,780,780000,4857,,2016-09-02 19:18:00.000000 UTC,,"Notting Hill Gate Station, Notting Hill",2016-09-02 19:05:00.000000 UTC,,"Holland Park, Kensington",1182,10631,1
58024178,780,780000,691,,2016-09-05 17:36:00.000000 UTC,,"Belgrove Street , King's Cross",2016-09-05 17:23:00.000000 UTC,,"Museum of London, Barbican",1011,1043,1
57950481,780,780000,5038,,2016-09-02 21:14:00.000000 UTC,,"Prince Consort Road, Knightsbridge",2016-09-02 21:01:00.000000 UTC,,"Westminster University, Marylebone",3499,1194,1
57935059,780,780000,13322,,2016-09-02 14:45:00.000000 UTC,,"Copper Box Arena, Queen Elizabeth Olympic Park",2016-09-02 14:32:00.000000 UTC,,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",300226,300029,0
57861629,780,780000,2032,,2016-08-31 17:57:00.000000 UTC,,"Aquatic Centre, Queen Elizabeth Olympic Park",2016-08-31 17:44:00.000000 UTC,,"Aquatic Centre, Queen Elizabeth Olympic Park",300233,300233,1
58066264,780,780000,7377,,2016-09-06 18:35:00.000000 UTC,,"Northumberland Avenue, Strand",2016-09-06 18:22:00.000000 UTC,,"Warren Street Station, Euston",1097,1090,0
57836626,780,780000,800,,2016-08-31 07:32:00.000000 UTC,,"Braham Street, Aldgate",2016-08-31 07:19:00.000000 UTC,,"Wapping Lane, Wapping",1062,200034,0
57950544,780,780000,7222,,2016-09-02 21:19:00.000000 UTC,,"Waterloo Station 3, Waterloo",2016-09-02 21:06:00.000000 UTC,,"Berry Street, Clerkenwell",1072,1159,1
58025085,780,780000,2782,,2016-09-05 17:48:00.000000 UTC,,"Stamford Street, South Bank",2016-09-05 17:35:00.000000 UTC,,"Clerkenwell Green, Clerkenwell",962,1053,0
57912025,780,780000,8188,,2016-09-01 20:09:00.000000 UTC,,"Regent's Row , Haggerston",2016-09-01 19:56:00.000000 UTC,,"Clinton Road, Mile End",200064,200161,1
57921544,780,780000,4896,,2016-09-02 08:21:00.000000 UTC,,"Wenlock Road , Hoxton",2016-09-02 08:08:00.000000 UTC,,"Duke Street Hill, London Bridge",979,300083,0
57919339,780,780000,6687,,2016-09-02 07:36:00.000000 UTC,,"Snowsfields, London Bridge",2016-09-02 07:23:00.000000 UTC,,"Waterloo Station 1, Waterloo",200193,2696,0
58039559,780,780000,1931,,2016-09-06 07:51:00.000000 UTC,,"Abbotsbury Road, Holland Park",2016-09-06 07:38:00.000000 UTC,,"Crabtree Lane, Fulham",200111,200221,0
57861527,780,780000,4347,,2016-08-31 17:56:00.000000 UTC,,"Manbre Road, Hammersmith",2016-08-31 17:43:00.000000 UTC,,"Disraeli Road, Putney",200235,200217,0
58031307,780,780000,9850,,2016-09-05 19:19:00.000000 UTC,,"Bayley Street , Bloomsbury",2016-09-05 19:06:00.000000 UTC,,"Belvedere Road, South Bank",1006,1186,0
57979237,780,780000,156,,2016-09-04 05:19:00.000000 UTC,,"Black Prince Road, Vauxhall",2016-09-04 05:06:00.000000 UTC,,"Soho Square , Soho",1205,1052,0
57919525,780,780000,6163,,2016-09-02 07:41:00.000000 UTC,,"Parkway, Camden Town",2016-09-02 07:28:00.000000 UTC,,"Park Road (Baker Street), The Regent's Park",200118,1050,0
57845593,780,780000,9977,,2016-08-31 09:54:00.000000 UTC,,"Winsland Street, Paddington",2016-08-31 09:41:00.000000 UTC,,"Great Titchfield Street, Fitzrovia",3496,3450,1
57883379,780,780000,847,,2016-09-01 09:01:00.000000 UTC,,"Derry Street, Kensington",2016-09-01 08:48:00.000000 UTC,,"Southerton Road, Hammersmith",3436,200166,0
57940195,780,780000,4351,,2016-09-02 17:09:00.000000 UTC,,"Endsleigh Gardens, Euston",2016-09-02 16:56:00.000000 UTC,,"Grosvenor Square, Mayfair",1079,10627,1
57985036,780,780000,4677,,2016-09-04 12:26:00.000000 UTC,,"Blackfriars Road, Southwark",2016-09-04 12:13:00.000000 UTC,,"Birkenhead Street, King's Cross",300214,300212,0
57900659,780,780000,3423,,2016-09-01 17:27:00.000000 UTC,,"St. George's Square, Pimlico",2016-09-01 17:14:00.000000 UTC,,"Seville Street, Knightsbridge",1195,1177,0
57856074,780,780000,3541,,2016-08-31 16:22:00.000000 UTC,,"Eagle Wharf Road, Hoxton",2016-08-31 16:09:00.000000 UTC,,"Cheapside, Bank",200246,22180,0
57920839,780,780000,13558,,2016-09-02 08:09:00.000000 UTC,,"Monument Street, Monument",2016-09-02 07:56:00.000000 UTC,,"Waterloo Station 2, Waterloo",200101,2692,0
57925243,780,780000,7401,,2016-09-02 09:08:00.000000 UTC,,"Queen Street 1, Bank",2016-09-02 08:55:00.000000 UTC,,"Tysoe Street, Clerkenwell",999,1146,1
57863926,780,780000,12369,,2016-08-31 18:24:00.000000 UTC,,"Crinan Street, King's Cross",2016-08-31 18:11:00.000000 UTC,,"Charlotte Street, Fitzrovia",22183,2669,0
57887667,780,780000,13847,,2016-09-01 10:57:00.000000 UTC,,"Tooley Street, Bermondsey",2016-09-01 10:44:00.000000 UTC,,"Bell Lane, Liverpool Street",1142,200036,1
57876851,780,780000,682,,2016-09-01 07:19:00.000000 UTC,,"Bridge Avenue, Hammersmith",2016-09-01 07:06:00.000000 UTC,,"Putney Pier, Wandsworth",300082,3492,0
58074021,780,780000,1388,,2016-09-06 21:37:00.000000 UTC,,"Beryl Road, Hammersmith",2016-09-06 21:24:00.000000 UTC,,"Shepherd's Bush Road North, Shepherd's Bush",200097,200209,0
58027085,780,780000,1776,,2016-09-05 18:13:00.000000 UTC,,"Dorset Square, Marylebone",2016-09-05 18:00:00.000000 UTC,,"Drury Lane, Covent Garden",1162,1007,0
58045763,780,780000,3345,,2016-09-06 09:12:00.000000 UTC,,"Flood Street, Chelsea",2016-09-06 08:59:00.000000 UTC,,"Falcon Road, Clapham Junction",1218,300014,0
58023625,780,780000,13128,,2016-09-05 17:27:00.000000 UTC,,"Waterloo Station 3, Waterloo",2016-09-05 17:14:00.000000 UTC,,"Finsbury Circus, Liverpool Street",1072,984,1
57920288,780,780000,13791,,2016-09-02 07:58:00.000000 UTC,,"Barbican Centre, Barbican",2016-09-02 07:45:00.000000 UTC,,"Waterloo Station 3, Waterloo",1191,1072,0
57950861,780,780000,668,,2016-09-02 21:42:00.000000 UTC,,"Panton Street, West End",2016-09-02 21:29:00.000000 UTC,,"Marylebone Lane, Marylebone",3452,1152,0
58033979,780,780000,9871,,2016-09-05 20:39:00.000000 UTC,,"Winsland Street, Paddington",2016-09-05 20:26:00.000000 UTC,,"Prince Albert Road, The Regent's Park",3496,2636,1
57975814,780,780000,10157,,2016-09-03 19:48:00.000000 UTC,,"Bow Road Station, Bow",2016-09-03 19:35:00.000000 UTC,,"Merchant Street, Bow",200251,200242,0
57920825,780,780000,6073,,2016-09-02 08:09:00.000000 UTC,,"Warren Street Station, Euston",2016-09-02 07:56:00.000000 UTC,,"Craven Street, Strand",1090,1160,1
57943611,780,780000,14045,,2016-09-02 18:02:00.000000 UTC,,"Eagle Wharf Road, Hoxton",2016-09-02 17:49:00.000000 UTC,,"Fore Street, Guildhall",200246,200253,0
57878807,780,780000,7229,,2016-09-01 08:03:00.000000 UTC,,"St. Bride Street, Holborn",2016-09-01 07:50:00.000000 UTC,,"Vauxhall Street, Vauxhall",200094,1224,0
57949880,780,780000,1059,,2016-09-02 20:40:00.000000 UTC,,"Wardour Street, Soho",2016-09-02 20:27:00.000000 UTC,,"Lambeth Palace Road, Waterloo",1163,300231,1
58020163,780,780000,6577,,2016-09-05 15:53:00.000000 UTC,,"Tysoe Street, Clerkenwell",2016-09-05 15:40:00.000000 UTC,,"Fournier Street, Whitechapel",1146,200157,0
